"idno","cntry","essround","gndr","agea","domicil","hinctnta","eduyrs","wkhtot","tvtot","hhmmb","ipcrtiv","ipadvnt","ipgdtim","ipsuces","imprich","impsafe","imptrad","ipfrule","iphlppl","ipeqopt","trstplc","trstplt","trstlgl","polintr","bctprd","sgnptit","stflife","happy","health","sclmeet","sclact","rlgblg","rlgdgr","pray","rlgatnd"
103107,"DE",4,1,25,4,4,14,55,6,1,3,2,2,3,4,2,4,5,3,3,7,5,6,2,2,2,4,7,2,6,3,1,2,7,6
103116,"DE",4,1,64,4,77,16,45,6,1,4,4,3,2,5,3,2,5,2,3,8,1,5,2,2,2,2,5,4,4,3,1,5,6,5
103125,"DE",4,1,42,2,7,10,40,4,5,3,5,3,3,5,3,3,3,3,3,9,6,9,2,1,1,8,8,2,4,3,1,4,7,6
103128,"DE",4,1,21,2,77,13,39,1,1,2,4,2,2,4,4,3,4,2,2,9,5,8,2,2,2,7,7,2,5,2,2,2,7,6
103131,"DE",4,1,54,4,77,13,40,1,2,2,2,2,2,2,2,2,2,3,2,7,88,7,2,1,1,8,8,3,4,2,2,0,7,7
103202,"DE",4,1,68,2,77,9,75,7,3,2,1,2,2,3,1,2,1,2,1,2,0,1,3,2,2,2,5,5,5,3,2,2,5,6
103205,"DE",4,1,67,4,5,11,59,7,2,1,2,2,2,3,2,2,2,1,2,6,5,5,1,2,1,8,9,3,6,4,1,7,2,4
103208,"DE",4,2,51,2,6,8,20,7,2,3,6,1,1,5,3,3,2,1,1,9,3,5,3,2,2,5,8,3,3,2,1,3,3,6
103211,"DE",4,1,27,2,77,13,40,5,1,2,2,2,2,2,2,4,2,1,2,9,2,4,3,2,2,7,7,1,7,3,1,5,6,6
103214,"DE",4,2,57,2,77,11,40,7,4,5,6,2,5,5,4,2,5,3,2,8,5,3,2,2,2,4,5,3,4,3,1,9,3,6
103220,"DE",4,2,45,4,77,11,35,2,3,2,5,3,4,5,2,5,2,2,1,5,2,3,3,2,2,5,9,2,5,3,2,1,5,6
103223,"DE",4,2,69,2,6,13,38,5,2,1,3,3,2,4,2,2,3,2,1,8,4,3,1,1,2,5,8,4,6,2,2,5,4,5
103226,"DE",4,1,46,4,5,19,30,4,3,4,4,1,4,6,2,2,4,2,2,8,1,7,1,1,1,5,5,2,5,4,2,0,7,7
103238,"DE",4,1,61,4,8,14,40,7,3,2,4,1,2,3,4,5,4,5,2,9,5,8,1,1,2,8,8,3,5,3,2,0,7,7
103306,"DE",4,1,71,4,8,15,40,4,2,2,5,2,3,5,2,3,5,2,2,10,8,10,1,1,1,10,8,2,5,3,1,5,6,6
103309,"DE",4,2,24,2,77,13,40,4,2,2,4,3,3,4,3,4,5,2,2,5,0,6,3,2,2,5,5,2,4,2,1,4,7,5
103315,"DE",4,1,46,2,77,13,44,7,1,1,2,2,2,3,2,2,2,2,3,8,0,6,3,2,2,4,6,2,2,2,2,1,7,7
103318,"DE",4,1,52,4,9,19,45,4,2,2,3,2,1,3,1,2,1,1,1,8,5,6,2,1,2,8,8,2,3,3,2,0,7,7
103321,"DE",4,2,60,2,77,12,30,5,2,3,3,3,3,5,3,3,4,3,3,8,3,7,2,2,2,8,8,2,5,4,1,9,2,4
103324,"DE",4,1,50,4,4,15,888,7,1,2,5,3,3,4,4,2,4,2,2,5,2,3,2,1,1,6,6,2,3,1,1,5,1,7
103333,"DE",4,2,69,4,4,16,50,6,1,2,5,2,2,4,3,2,2,2,3,8,5,2,2,2,2,2,5,4,6,3,1,7,2,4
103342,"DE",4,2,77,4,4,12,42,7,2,6,6,2,3,5,2,2,3,1,3,5,2,3,3,2,2,8,9,1,4,3,2,0,7,7
104103,"DE",4,1,29,2,3,15,40,2,1,4,5,1,1,5,2,5,5,3,2,9,4,6,2,1,2,6,6,3,6,2,2,0,7,7
104106,"DE",4,2,39,2,7,15,30,5,3,3,4,3,4,4,3,2,4,3,3,7,5,9,2,2,1,8,8,2,4,2,1,9,1,4
104112,"DE",4,1,27,1,1,20,10,5,3,3,3,2,1,2,5,2,5,1,1,4,2,5,2,1,2,9,8,2,5,2,1,2,4,7
104115,"DE",4,1,34,1,2,27,31,0,1,4,5,5,5,5,4,5,5,1,2,7,2,9,2,1,2,6,6,3,4,3,1,5,5,5
104121,"DE",4,1,38,1,8,23,45,4,3,2,4,2,1,3,2,2,3,1,2,5,5,9,2,2,2,9,9,2,6,3,1,6,6,6
104124,"DE",4,1,65,1,10,20,60,2,4,1,4,1,2,2,1,1,3,1,1,8,3,6,1,2,1,8,9,2,6,3,1,5,6,5
104127,"DE",4,1,49,2,5,13,38,5,2,5,5,2,5,5,3,4,5,2,2,3,4,3,1,2,2,8,8,2,4,4,2,1,7,6
104204,"DE",4,1,37,1,2,20,50,4,1,2,3,3,2,3,1,4,4,2,1,5,0,5,1,2,2,5,5,3,5,3,2,3,7,7
104207,"DE",4,1,999,1,1,77,40,5,1,2,2,3,3,2,2,2,2,2,2,4,4,3,2,2,2,7,7,2,5,3,2,0,6,7
104210,"DE",4,2,48,2,9,13,24,3,4,1,4,3,3,5,3,2,5,2,1,8,5,7,2,1,2,8,8,2,5,4,1,10,1,3
104216,"DE",4,2,27,1,3,17,40,5,1,3,3,3,2,4,5,4,5,2,2,8,5,8,2,2,1,7,6,2,6,3,2,1,7,7
104222,"DE",4,2,39,2,2,13,38,4,2,4,2,2,3,5,2,3,3,2,2,6,5,6,3,2,2,7,7,2,5,4,1,5,6,7
104225,"DE",4,1,37,2,5,16,42,3,4,3,1,2,2,2,2,4,2,5,1,8,4,7,1,2,2,4,5,4,5,3,1,2,7,7
104228,"DE",4,1,45,2,2,20,24,4,1,2,5,2,4,6,1,3,2,1,2,9,5,8,3,2,2,7,7,3,4,1,1,4,6,6
104231,"DE",4,2,45,1,6,24,40,3,3,1,2,2,1,4,4,4,5,2,1,7,4,8,1,1,1,9,9,1,4,3,1,7,7,7
104302,"DE",4,1,67,1,3,15,45,5,2,4,3,2,5,5,5,2,5,1,2,8,4,7,2,2,1,7,7,2,4,3,2,1,7,7
104308,"DE",4,2,25,2,2,15,45,4,2,2,2,2,2,4,5,3,5,2,3,6,1,4,3,2,2,8,9,2,6,3,1,2,7,7
104311,"DE",4,1,66,2,10,12,60,0,2,2,6,4,2,4,1,1,2,1,1,7,2,7,2,2,1,9,9,3,6,3,1,8,2,7
104323,"DE",4,2,73,1,5,15,35,3,1,2,6,2,5,5,4,4,2,4,2,9,2,8,3,1,2,7,7,3,6,3,1,4,6,5
105102,"DE",4,1,58,1,4,13,40,4,2,3,5,2,2,5,4,4,5,2,1,5,4,4,1,2,2,7,7,2,3,3,2,4,2,4
105105,"DE",4,1,67,1,8,15,50,1,1,2,4,3,3,4,4,2,5,2,2,8,4,6,1,2,2,10,7,2,6,4,1,7,4,6
105114,"DE",4,2,33,1,7,17,25,4,2,1,5,3,2,3,4,3,3,2,1,6,4,6,2,2,1,8,8,3,6,3,1,5,6,6
105126,"DE",4,2,59,2,6,15,12,3,2,1,6,5,3,5,1,1,4,1,2,5,2,3,3,2,2,7,7,2,3,1,1,8,1,6
105129,"DE",4,2,56,1,2,18,20,7,2,1,5,2,2,5,5,5,5,1,1,5,3,4,1,1,1,5,5,3,7,3,2,0,7,7
105141,"DE",4,1,48,1,77,13,43,6,3,2,3,2,2,3,4,2,3,4,4,7,5,8,2,2,2,7,8,1,4,3,2,0,7,7
105206,"DE",4,2,29,1,3,14,39,2,2,3,4,1,3,3,1,2,4,1,2,8,0,9,2,2,1,6,6,3,6,2,1,7,4,6
105212,"DE",4,2,41,2,9,11,8,3,3,2,5,1,1,4,2,1,4,1,2,10,7,10,3,2,2,9,10,2,6,3,2,10,1,7
105215,"DE",4,1,45,1,4,12,37,2,1,2,2,2,2,2,2,2,2,2,2,5,4,5,2,2,2,8,8,2,4,3,1,0,7,7
105218,"DE",4,1,53,2,6,14,43,7,4,3,3,2,3,3,2,3,3,2,2,9,8,9,1,2,2,8,8,2,6,4,2,2,6,6
105224,"DE",4,1,65,2,9,22,45,5,2,2,4,2,1,4,3,1,5,2,1,8,4,8,2,1,2,9,9,4,6,2,1,7,6,6
105227,"DE",4,2,38,1,2,14,40,2,2,4,3,1,2,2,2,1,6,2,2,8,1,1,2,2,2,4,2,4,7,2,1,8,4,5
105233,"DE",4,1,31,1,1,20,666,0,2,2,3,2,1,4,2,3,4,3,2,8,4,5,3,1,1,10,9,4,4,3,2,7,1,7
105236,"DE",4,1,38,1,77,10,50,3,1,2,2,2,1,3,4,1,2,3,1,3,0,3,3,2,2,7,9,3,7,3,1,8,1,3
105239,"DE",4,1,37,3,5,13,50,3,3,2,3,3,2,6,6,5,5,1,3,8,4,4,1,2,2,8,8,2,6,3,1,2,7,6
105307,"DE",4,2,36,2,1,13,40,5,1,1,5,2,2,6,2,3,5,2,2,7,3,7,2,2,2,1,5,4,6,2,2,1,6,6
105319,"DE",4,1,42,1,7,22,20,2,5,2,3,1,2,3,3,2,6,3,1,6,3,6,2,1,2,7,7,1,7,4,2,1,6,4
105322,"DE",4,1,20,2,10,14,48,0,5,3,2,1,2,2,5,1,4,3,3,9,4,8,2,2,2,10,10,2,7,4,1,7,6,5
105325,"DE",4,2,65,1,1,13,40,4,2,3,3,1,2,5,3,2,4,1,2,7,7,7,2,2,2,8,6,2,4,3,1,6,2,2
105328,"DE",4,1,45,1,10,20,50,2,3,2,5,2,2,4,3,4,5,3,1,9,8,7,1,2,1,8,8,2,3,2,2,1,7,7
105340,"DE",4,2,26,1,3,13,42,7,3,3,2,2,1,3,3,2,5,4,4,10,3,10,4,2,2,10,10,1,6,3,2,0,7,7
106103,"DE",4,2,28,4,5,12,30,5,2,5,6,1,2,6,1,6,3,1,1,5,3,3,3,2,1,5,7,2,6,2,2,0,7,7
106112,"DE",4,1,41,1,1,12,6,2,1,3,6,1,2,5,2,6,4,1,2,3,88,4,3,2,2,2,4,2,3,1,1,4,6,6
106118,"DE",4,2,33,1,2,22,9,5,3,4,5,2,4,4,1,2,4,2,2,5,4,8,2,1,2,6,5,3,7,1,1,6,1,6
106124,"DE",4,1,72,2,3,10,49,4,2,6,5,5,5,5,5,4,3,5,4,9,0,6,4,2,2,0,0,5,1,1,1,3,2,7
106133,"DE",4,1,54,2,1,12,45,7,2,2,4,2,3,3,5,3,4,2,2,6,2,6,3,2,2,6,6,2,4,4,2,3,7,5
106201,"DE",4,1,67,2,6,19,45,4,2,3,6,3,4,5,4,5,2,2,2,6,3,6,2,2,1,8,8,3,6,3,2,5,7,7
106204,"DE",4,2,66,2,1,13,12,7,3,3,6,3,5,3,2,2,4,1,3,9,0,8,3,2,2,5,4,5,4,1,2,0,7,7
106213,"DE",4,1,37,8,88,22,60,1,2,3,2,3,3,4,5,3,4,4,4,6,4,7,2,2,2,8,8,2,6,3,1,8,1,4
106225,"DE",4,1,28,3,4,18,60,4,3,2,5,2,3,5,2,2,5,2,2,4,1,2,2,2,2,7,7,3,4,3,2,0,7,7
106228,"DE",4,2,46,2,1,13,45,4,1,5,6,3,3,6,2,5,6,3,1,10,8,8,3,2,2,6,7,4,6,2,2,7,6,5
106234,"DE",4,2,68,2,7,18,38,6,2,3,4,2,2,5,2,1,4,2,2,7,4,5,2,1,1,10,10,2,6,3,1,7,1,7
106237,"DE",4,2,80,3,2,8,15,6,1,3,6,1,2,2,2,2,2,1,2,7,2,3,3,1,2,4,5,2,5,4,1,7,1,4
106302,"DE",4,1,34,2,10,19,55,3,2,4,2,2,2,4,4,3,2,2,3,9,4,8,2,2,1,8,8,2,5,2,2,2,7,6
106308,"DE",4,1,21,2,1,11,41,5,5,4,2,4,2,1,2,2,2,2,2,1,0,3,3,2,1,3,7,3,6,2,1,5,5,5
106317,"DE",4,1,66,2,4,15,70,7,2,2,4,2,2,4,4,1,4,2,2,8,6,8,1,2,2,7,8,2,5,3,1,5,6,5
106326,"DE",4,1,49,2,8,15,42,3,2,3,3,1,4,5,2,5,3,2,2,8,3,5,2,2,2,8,8,2,5,4,2,0,7,7
106338,"DE",4,1,42,1,9,25,40,0,3,1,5,3,4,4,5,5,1,3,1,8,4,9,2,1,2,7,9,2,5,2,2,1,7,7
107101,"DE",4,1,72,2,6,19,55,2,2,2,5,2,1,5,5,1,2,1,2,9,7,6,1,2,1,9,9,2,6,4,1,9,2,4
107110,"DE",4,1,16,2,2,10,888,4,5,4,3,1,2,4,4,3,4,1,2,8,7,7,3,2,2,8,8,2,6,3,1,7,6,7
107122,"DE",4,2,52,2,3,12,24,7,2,2,6,2,5,6,4,2,3,2,2,5,2,6,2,2,2,7,9,2,5,3,1,8,4,7
107125,"DE",4,1,73,2,5,11,56,5,2,3,3,2,2,2,2,2,2,2,2,7,4,5,2,2,2,8,8,3,3,2,1,6,1,5
107131,"DE",4,1,70,2,5,11,50,7,2,2,5,3,2,4,1,2,5,1,2,8,4,1,1,1,1,5,8,2,4,5,1,5,6,5
107202,"DE",4,2,60,2,1,10,18,3,2,5,6,5,3,4,3,2,4,2,2,7,2,3,4,2,2,9,8,3,4,2,1,7,6,5
107214,"DE",4,1,36,2,8,18,60,1,4,1,4,2,4,5,5,2,5,2,2,9,5,8,1,1,1,6,8,2,6,3,1,9,1,4
107217,"DE",4,2,58,2,77,13,30,4,2,2,4,4,4,5,2,2,2,2,2,6,3,5,2,2,2,7,7,2,4,3,1,7,6,4
107220,"DE",4,1,38,2,4,20,60,3,1,1,2,2,1,4,2,2,2,2,1,6,8,8,3,2,2,1,1,4,5,4,1,6,7,5
107232,"DE",4,1,45,2,7,14,42,2,3,2,6,5,5,6,3,4,6,3,3,8,4,8,2,1,2,7,8,2,3,2,2,4,7,5
107303,"DE",4,2,71,2,77,11,20,6,2,2,5,2,4,5,3,2,2,2,3,7,7,4,1,1,2,7,8,3,2,2,1,8,1,3
107315,"DE",4,1,58,2,5,10,40,7,2,5,4,2,3,5,2,3,4,2,3,6,2,4,3,2,2,6,7,4,4,3,1,4,5,5
107324,"DE",4,1,44,2,9,21,40,1,5,3,4,5,3,5,3,4,4,3,3,8,6,9,1,2,1,8,8,3,5,3,1,5,6,5
107333,"DE",4,2,50,2,8,19,30,2,3,5,6,4,5,6,2,3,2,1,1,8,5,8,3,1,1,8,8,2,5,3,1,2,7,7
108105,"DE",4,1,47,4,77,18,50,1,3,2,5,4,3,5,3,3,6,2,2,5,2,5,3,1,1,10,8,1,6,3,1,3,77,5
108114,"DE",4,1,63,4,77,11,36,6,3,6,6,6,5,6,1,1,3,1,6,10,7,0,3,2,2,7,10,3,3,3,1,5,4,4
108117,"DE",4,1,56,4,10,17,55,3,5,2,3,2,2,5,5,3,5,4,3,9,4,8,1,1,2,9,8,3,4,4,1,7,4,4
108123,"DE",4,1,68,4,4,11,45,4,3,2,1,1,1,2,2,1,5,1,2,9,5,4,3,2,2,9,8,3,5,4,1,7,1,2
108129,"DE",4,1,59,4,7,15,50,5,4,5,6,4,5,5,4,4,6,4,3,9,2,5,3,2,2,7,8,1,5,3,1,8,4,4
108209,"DE",4,1,47,4,5,15,55,3,4,1,5,4,3,3,2,4,4,2,2,7,4,7,2,2,1,8,7,3,6,4,1,5,6,5
108212,"DE",4,1,49,4,4,12,40,2,3,2,5,2,3,5,2,2,5,2,2,10,5,8,3,2,2,5,8,2,5,3,1,5,6,6
108215,"DE",4,1,72,4,4,11,40,6,3,2,6,1,2,5,1,1,1,1,1,9,7,6,1,2,1,10,10,1,4,4,1,10,1,2
108236,"DE",4,1,34,4,7,13,50,4,3,2,5,1,1,3,1,2,5,2,3,7,1,5,3,1,2,9,9,2,6,4,1,6,3,4
108301,"DE",4,1,39,4,7,18,40,4,4,3,6,4,2,4,3,6,4,3,3,6,2,6,2,1,2,7,8,3,3,2,1,1,7,5
108307,"DE",4,1,57,4,6,14,65,2,3,3,5,2,2,5,2,2,2,2,2,9,0,3,2,2,2,7,10,2,3,1,1,5,1,5
108322,"DE",4,1,43,4,9,23,48,4,4,3,4,3,2,5,3,5,5,2,2,7,7,8,1,1,1,8,9,2,2,3,2,2,7,7
108331,"DE",4,1,66,4,3,13,40,6,2,2,3,2,2,5,2,2,2,2,2,8,5,8,2,2,2,10,8,2,6,4,1,8,2,3
109104,"DE",4,2,22,3,77,12,38,6,1,2,3,2,2,5,1,5,5,2,2,88,88,88,3,2,2,5,88,2,3,8,2,3,7,7
109116,"DE",4,1,48,3,77,13,70,6,3,4,5,2,5,5,2,2,3,4,2,7,2,7,2,1,2,3,5,3,5,2,2,0,7,7
109119,"DE",4,2,54,4,5,11,32,7,4,5,5,2,3,3,1,1,2,1,2,10,2,6,3,2,2,7,7,4,2,2,1,4,6,7
109128,"DE",4,1,36,3,4,19,50,2,1,3,4,2,2,4,4,2,5,2,2,8,4,8,2,2,2,7,6,2,6,4,2,4,6,5
109134,"DE",4,2,57,3,77,17,40,5,2,4,5,2,2,3,2,2,4,2,4,8,3,2,2,2,1,8,8,3,6,3,1,2,7,6
109208,"DE",4,1,70,3,77,11,42,4,2,3,3,2,3,5,2,2,2,2,2,8,0,5,3,2,2,8,10,3,3,3,1,5,6,6
109211,"DE",4,2,66,3,2,11,48,4,1,3,5,2,5,5,3,5,5,2,1,8,7,8,1,1,2,6,8,2,7,4,1,3,6,6
109217,"DE",4,2,76,3,2,8,20,7,1,2,5,1,2,5,1,2,5,1,2,8,0,88,3,2,2,8,7,3,4,3,1,3,1,7
109303,"DE",4,1,56,3,77,17,38,4,3,4,5,3,2,6,5,2,2,2,2,8,7,6,3,2,2,8,8,2,4,3,1,8,1,3
109306,"DE",4,1,79,3,3,11,50,6,1,1,5,2,2,5,2,2,1,2,2,5,0,0,3,2,2,10,5,3,6,3,1,4,1,5
109321,"DE",4,1,52,3,1,12,45,7,1,2,5,4,4,5,1,3,5,2,1,8,3,2,2,2,2,3,2,4,2,2,2,4,7,7
109330,"DE",4,1,26,3,5,14,40,3,2,2,3,1,2,1,4,3,5,4,3,5,1,7,2,2,2,7,6,2,5,2,2,1,7,7
109339,"DE",4,2,15,3,88,10,666,4,4,2,4,2,2,5,2,2,4,2,2,7,1,88,3,2,2,8,9,3,4,2,2,0,7,7
110106,"DE",4,2,35,1,9,22,24,3,2,2,5,3,4,6,4,2,5,2,3,6,5,7,3,2,2,8,8,3,5,3,1,7,7,6
110121,"DE",4,1,38,1,4,18,40,1,3,5,2,3,4,6,2,6,3,1,2,5,3,4,1,2,2,5,6,3,4,2,2,0,7,7
110130,"DE",4,2,37,2,6,15,50,4,4,2,6,3,2,5,3,4,5,2,1,8,5,5,3,2,2,7,8,2,4,3,2,5,6,7
110137,"DE",4,1,21,1,3,12,30,6,3,2,1,1,2,5,2,3,4,3,3,8,7,7,3,2,2,7,7,3,6,2,2,2,7,6
110204,"DE",4,2,26,1,88,19,4,2,1,5,5,1,2,4,4,2,4,2,2,9,6,9,2,1,1,8,9,2,7,3,1,7,6,5
110210,"DE",4,1,52,1,6,12,35,7,2,3,5,2,3,5,3,3,3,1,1,8,6,8,1,1,1,10,8,3,4,3,1,6,6,5
110225,"DE",4,1,50,2,8,19,50,3,4,1,5,2,2,3,3,5,6,4,2,8,3,8,1,1,1,7,8,1,2,3,1,7,6,6
110235,"DE",4,2,53,2,9,16,53,2,2,1,6,4,1,5,1,3,5,1,2,8,5,6,2,1,1,6,6,2,3,4,1,8,2,3
110305,"DE",4,2,18,2,88,13,666,0,6,4,5,2,3,5,2,3,5,1,1,9,7,10,2,1,1,9,9,3,6,4,1,8,4,4
110332,"DE",4,2,32,2,1,15,25,4,1,1,4,2,3,5,5,5,6,2,3,3,2,3,2,1,2,7,8,1,6,2,2,0,7,7
111108,"DE",4,2,42,3,1,16,40,7,1,2,5,2,2,6,2,5,5,2,1,1,2,1,2,2,2,2,7,5,7,2,1,8,6,6
111123,"DE",4,2,39,4,6,23,30,1,3,3,3,2,3,5,3,3,2,1,1,6,5,7,3,1,1,7,10,1,6,3,1,7,6,5
111129,"DE",4,2,44,3,3,17,80,0,2,2,5,6,6,6,1,2,6,2,1,6,4,6,3,1,2,8,9,2,5,2,2,0,7,7
111209,"DE",4,1,43,4,8,20,45,4,2,3,3,2,3,3,3,3,4,2,3,7,4,7,2,2,2,8,8,2,4,3,2,2,7,7
111212,"DE",4,1,18,4,1,11,45,4,5,4,2,2,4,6,4,3,5,2,2,9,8,6,3,2,2,4,7,2,6,3,1,7,6,7
111215,"DE",4,2,23,3,1,11,45,4,3,2,5,3,3,5,5,3,5,2,1,6,3,4,3,2,1,6,6,1,5,2,1,6,3,7
111218,"DE",4,2,32,3,8,19,23,2,4,3,5,4,3,5,2,3,3,4,3,8,4,8,2,2,1,9,8,1,6,3,1,7,6,5
111224,"DE",4,1,21,3,5,11,41,4,3,4,3,1,5,1,3,2,4,3,2,6,2,4,3,2,2,3,2,3,6,3,1,7,7,7
111230,"DE",4,1,58,2,5,17,23,1,1,1,1,1,1,1,1,1,1,1,1,3,7,3,2,1,7,9,2,4,2,2,2,2,2,2
111239,"DE",4,1,40,4,7,13,45,4,2,3,4,4,4,6,5,3,5,4,2,9,4,9,1,1,1,9,9,2,5,3,2,0,7,7
111301,"DE",4,1,65,4,7,22,50,4,2,3,3,2,2,3,1,1,1,2,5,5,1,2,1,2,2,9,8,3,4,3,1,5,6,6
111307,"DE",4,2,76,4,4,13,40,6,2,4,5,2,4,5,2,3,5,2,3,8,6,5,2,2,2,8,6,3,6,3,1,8,2,4
111328,"DE",4,1,21,4,1,13,39,4,1,3,3,2,3,5,5,4,5,3,3,6,5,7,3,2,2,6,6,2,6,3,1,2,7,7
111340,"DE",4,1,40,3,9,20,41,2,3,3,5,3,5,4,2,3,5,2,1,8,3,5,3,1,2,8,8,3,3,2,1,6,6,7
112109,"DE",4,2,70,2,6,12,50,4,1,2,6,4,1,5,1,4,2,1,2,7,4,3,1,1,2,9,6,1,6,3,2,1,7,7
112118,"DE",4,2,41,4,8,13,28,3,4,3,4,1,2,4,3,4,6,2,1,9,3,7,2,1,2,4,7,3,6,3,1,8,2,5
112121,"DE",4,1,67,2,77,15,0,3,1,2,6,2,4,3,2,2,4,2,2,9,4,9,3,1,2,7,7,1,6,4,1,5,6,6
112127,"DE",4,2,39,2,3,10,20,2,4,2,2,2,3,4,3,5,3,3,2,10,4,3,3,2,1,5,7,2,6,3,1,4,6,5
112204,"DE",4,1,36,4,5,15,44,5,1,3,4,2,2,4,4,2,2,2,2,10,5,9,2,1,2,7,7,2,4,2,2,0,7,7
112213,"DE",4,1,40,3,6,11,0,7,6,3,6,3,5,6,1,3,4,3,1,10,6,9,1,2,2,2,2,2,4,3,1,10,3,3
112216,"DE",4,2,47,4,10,16,50,6,4,1,5,2,1,6,1,3,4,1,1,5,0,3,3,2,1,10,10,1,7,2,2,8,2,6
